H3k4me3	H3k27me3	measured_log2
3.551	-0.24554094	2.19925
5.07	0.52957057	5.29863
5.415	-0.05636898	3.51186
2.009	1.26003738	-5.05889
2.094	0.9890732	-5.05889
5.623	0.47084759	2.60738
5.157	-0.24554094	6.73192
4.113	0.26311311	0.4418
4.284	0.02322194	1.75686
5.361	-0.24554094	2.53735
6.005	-0.17803928	6.30757
4.615	4.58283894	1.39443
3.587	-0.24554094	-0.35702
5.865	0.51026061	1.15353
3.496	0.70161778	3.61746
1.954	0.52957057	-5.05889
2.14	0.22122311	-5.05889
5.974	0.52957057	3.73476
2.315	1.97392328	-5.05889
2.214	0.07809122	-5.05889
5.345	0.21621453	2.93607
2.162	0.44966328	-3.51042
2.396	6.75145702	-5.05889
4.818	0.09046251	-0.35702
4.716	0.19345569	3.75341
3.577	1.80738355	-5.05889
5.441	-0.24554094	2.18099
4.914	-0.24554094	0.76961
2.162	0.93979035	-5.05889
6.427	0.62809182	5.34651
3.237	-0.24554094	6.47147
5.834	0.78347967	3.06114
4.123	-0.24554094	3.98677
3.48	1.26671427	-0.15798
1.954	0.53862801	2.64783
5.356	-0.24554094	3.71586
1.963	5.3433012	-5.05889
2.203	5.39934542	-5.05889
4.627	2.29012046	-5.05889
5.502	-0.20634252	2.84624
5.678	-0.11987534	2.85778
5.623	0.52957057	5.47757
4.643	0.33187884	2.55163
6.157	-0.24554094	8.90413
5.554	-0.24554094	-2.29863
5.59	0.52957057	7.3375
3.441	4.89562736	-3.51042
2.162	1.61622569	-1.93783
3.304	1.67719225	-5.05889
4.398	0.60432516	-0.15798
6.081	0.79023694	5.11608
6.092	1.02389366	6.51402
4.659	-0.24554094	3.94411
4.709	-0.24554094	3.62424
1.954	1.51125016	-5.05889
2.946	3.87208994	-5.05889
2.162	0.78347967	-5.05889
2.237	0.95865671	-5.05889
5.565	-0.24554094	0.09699
5.142	0.96090418	5.30707
4.328	1.71007551	-1.64946
4.805	5.13153185	-2.29863
5.782	1.50561632	3.22158
5.921	0.85773141	5.18183
4.103	0.53360268	1.07661
6.405	0.95865671	6.99487
5.504	0.3763398	3.37401
5.295	0.81695309	3.49718
4.57	0.52957057	2.44855
5.534	-0.24554094	0.99535
3.323	-0.24554094	-1.40923
4.751	0.20866766	3.87197
2.167	0.87372538	-5.05889
4.823	0.52957057	4.53174
3.254	-0.24554094	4.95619
5.949	-0.24554094	1.15353
4.124	0.51026061	2.72546
4.334	-0.24554094	3.79001
4.851	0.209928	3.13886
2.54	1.34910449	-0.46788
5.016	0.52957057	-5.05889
5.712	0.32956046	6.53753
5.786	-0.24554094	4.25461
3.679	6.12784784	-5.05889
4.366	-0.04730642	9.62996
4.788	0.52957057	4.50997
5.851	0.65610501	8.56627
5.962	0.11489131	6.26596
5.514	-0.24554094	5.85543
4.742	-0.24554094	5.15636
5.137	-0.24554094	6.22087
5.675	0.63185905	5.8811
4.558	-0.24554094	2.35394
4.087	0.4968984	4.27627
3.448	0.83176657	2.89186
3.13	4.87516568	0.81767
5.683	1.35936343	8.01996
3.472	2.21646712	2.59364
4.674	0.05723462	-5.05889
4.205	2.84009447	-5.05889
3.787	4.06021166	1.89768
2.171	1.05718646	-2.78087
5.374	0.51230524	8.60594
5.687	0.92374969	1.80534
4.084	0.52957057	3.03087
4.944	-0.24554094	0.55954
3.053	3.25467105	-0.25407
2.906	4.66031825	-5.05889
2.154	0.98539803	-5.05889
5.942	0.53561551	3.10052
5.541	0.980237	2.57977
3.12	0.04880598	0.71989
2.424	2.3384642	1.42578
4.608	0.75699291	6.85865
4.271	-0.24554094	2.70004
4.908	0.95865671	-5.05889
3.585	0.81032008	2.43321
6.016	0.61387905	8.85243
2.168	1.02317689	-5.05889
5.41	0.78347967	5.60458
1.954	-0.24554094	-5.05889
2.392	-0.24554094	-5.05889
5.3	1.7651356	2.40202
4.962	4.73450909	-0.58798
2.142	0.5235002	-5.05889
5.245	0.50308049	4.23704
1.954	1.38748908	-5.05889
3.539	0.75180943	1.03655
2.607	-0.08545176	-5.05889
4.885	-0.21477378	3.32497
2.158	0.92066638	-5.05889
5.836	0.52957057	3.88331
5.805	0.33534772	7.40885
2.166	0.37521681	-5.05889
4.371	-0.13259949	2.63447
3.469	0.67174125	4.30184
4.096	3.6117979	0.37911
2.039	4.44746014	-5.05889
4.435	1.31787679	3.88331
3.353	1.11954839	5.61312
2.5	-0.24381434	-1.64946
2.069	0.26068145	-5.05889
5.502	-0.24554094	4.27196
5.654	0.33880828	5.04215
2.861	5.56457021	-5.05889
5.265	0.78008871	3.80201
3.24	1.00296131	2.40202
4.659	0.99713302	3.54793
5.09	-0.24554094	4.05854
4.443	1.98095369	0.76961
2.935	-0.24554094	3.29132
3.359	-0.24554094	0.99535
5.41	-0.24208979	7.10369
4.902	3.49799543	-0.58798
1.954	-0.24554094	-5.05889
3.961	0.39308277	1.26173
5.84	0.2237209	4.3598
2.315	1.08630786	-3.51042
6.501	0.35256924	5.39682
5.185	0.52653908	8.00025
2.816	2.24656602	-5.05889
5.416	0.37970464	1.96324
4.986	0.19472939	3.91679
6.221	0.01459305	5.0063
2.7	1.20862929	-0.15798
5.083	1.33299972	-5.05889
6.256	0.63655313	4.68536
5.348	0.20361522	6.6637
6.052	0.95865671	1.51594
2.154	4.97301881	-5.05889
5.589	-0.24554094	2.21728
5.5	0.52451454	5.22702
4.994	1.69934706	7.79423
5.256	0.09592774	4.68859
4.036	5.1513068	0.90924
4.911	2.32398664	0.66839
4.712	1.16249975	5.36886
2.162	0.53662038	-5.05889
3.158	-0.24554094	1.62801
5.91	0.58308044	3.31663
2.527	4.87715034	-5.05889
5.554	0.05723462	0.71989
2.877	3.3564945	-2.29863
5.598	-0.24554094	3.24813
4.782	2.00148141	2.44855
5.128	-0.20634252	6.34905
2.003	1.78894435	-5.05889
5.729	0.28958362	6.06905
4.196	0.60719769	3.44459
6.342	0.98980712	5.19781
5.733	0.25946469	5.4757
2.11	0.38082414	-5.05889
3.944	-0.13579814	1.36238
5.477	-0.24554094	4.3679
4.809	2.88635689	-3.51042
5.492	0.52957057	4.52452
5.616	-0.23864687	4.67235
5.428	0.28241189	1.65472
5.659	0.28241189	4.81237
4.709	0.64961772	-1.40923
5.859	1.8713112	0.50187
5.116	-0.23864687	0.71989
5.692	-0.05183059	4.72685
4.923	-0.24554094	-0.25407
4.042	-0.24554094	4.41942
1.954	-0.24554094	-5.05889
2.705	2.98223418	-2.29863
2.245	1.11619137	-5.05889
5.642	0.52957057	6.5122
5.507	0.18065515	7.32508
3.815	1.87489116	-5.05889
5.298	0.23861992	0.90924
3.767	-0.24554094	6.40812
5.839	-0.24554094	5.85399
2.073	0.97283193	-5.05889
1.954	0.96090418	-5.05889
2.04	0.81695309	-5.05889
4.74	1.27877546	1.42578
4.458	4.45963486	-1.64946
6.013	-0.24554094	1.26173
4.475	2.4639466	1.29606
6.073	-0.02934736	7.39803
5.933	0.2237209	3.48979
5.785	0.0289474	4.74871
5.377	1.31495138	3.74723
6.179	-0.05636898	4.87049
5.163	3.98425206	-2.29863
6.105	0.58793664	4.58825
5.17	-0.02786106	0.4418
4.837	-0.24208979	5.03454
2.159	1.52852604	-5.05889
1.954	-0.02934736	-5.05889
5.902	-0.02489305	3.86627
5.746	1.5757332	4.83298
4.184	-0.24554094	4.49895
3.993	0.51128329	-3.51042
3.399	0.45711354	0.31358
4.551	2.14874199	-5.05889
5.594	-0.2403673	7.64154
2.953	1.67308123	-5.05889
2.437	2.44426671	2.38617
5.258	0.88165637	1.22656
4.745	1.54210422	-3.51042
6.005	0.85370465	4.86192
4.673	0.19345569	-2.78087
4.674	1.09451949	3.11982
1.954	0.48236761	-5.05889
2.852	1.82722942	-3.51042
4.851	1.72558389	-5.05889
4.49	-0.24554094	3.4058
5.91	0.06561293	2.94692
2.624	1.78387545	-2.78087
5.175	0.5446352	-3.51042
5.01	-0.24554094	9.58998
5.514	0.72208166	6.36531
6.44	0.46135302	7.48011
5.108	0.85692711	3.83157
4.387	0.45817458	4.49156
4.924	0.56151918	5.26652
4.894	0.38417745	7.09091
4.278	1.29489976	3.89456
5.077	-0.24554094	5.98078
5.071	1.90749812	-2.29863
6.438	1.01958768	5.02689
3.55	1.24043002	-1.93783
5.253	2.03315495	4.63595
3.54	0.45392573	0.71989
4.889	0.65518004	6.11786
3.976	1.8027927	1.57306
1.954	0.52957057	-5.05889
3.419	4.95715775	-5.05889
5.594	0.48341024	6.50488
5.831	0.46346914	8.22071
2.21	1.04452664	-5.05889
5.612	-0.23349783	4.21028
4.72	0.54263492	3.81982
4.95	0.53360268	4.74871
6.031	-0.18464909	6.12623
4.857	2.19816392	2.88059
2.093	1.75394226	-5.05889
5.41	0.52957057	4.4426
5.397	-0.11987534	1.26173
5.707	-0.24554094	6.92185
4.6	0.54762895	2.50835
3.583	0.95865671	4.92362
5.608	-0.23349783	4.20578
3.302	0.54962133	1.98446
2.164	0.63655313	-5.05889
4.509	4.9748734	-5.05889
4.509	1.04593879	1.65472
2.491	-0.14060945	1.03655
5.024	0.29671871	7.62348
4.623	0.67356951	2.21728
4.206	-0.24554094	1.36238
4.999	-0.24554094	4.75181
3.339	1.58305181	-0.719
4.109	0.44110147	3.84323
5.154	-0.24554094	2.08607
3.516	4.63719865	-5.05889
2.204	0.42599574	-5.05889
4.908	-0.24554094	2.43321
5.435	1.15270228	3.70312
5.927	-0.1747457	6.89341
5.358	0.08222769	5.71021
5.441	-0.04580002	0.17286
2.169	0.52957057	-0.06789
4.927	-0.24554094	3.51186
6.063	1.34681479	8.44743
5.636	0.52957057	-5.05889
6.358	0.52957057	5.98604
3.461	3.64724536	-5.05889
3.761	2.71584055	-1.20336
5.354	0.52957057	2.99996
6.1	0.58599651	5.19326
3.423	1.13023865	-5.05889
5.714	-0.24554094	2.68717
5.968	0.82684535	8.86321
4.46	1.22990747	3.58312
5.779	0.10679381	7.29568
5.347	-0.24554094	6.56507
4.569	0.54563381	5.07465
4.411	2.13188229	1.11558
2.574	1.5300405	0.86418
5.964	-0.24554094	4.31026
2.123	0.52957057	-5.05889
3.263	3.83008283	-5.05889
2.158	1.5436045	-5.05889
4.821	0.10001212	1.29606
4.884	-0.24554094	4.12213
6.228	-0.21646596	6.46393
5.69	-0.08854745	6.70101
2.306	0.95865671	1.42578
5.484	-0.24554094	6.12265
5.635	0.06978528	5.77859
5.144	-0.24554094	3.63769
5.837	-0.24554094	-1.64946
5.246	0.50308049	1.98446
4.162	3.48646976	1.80534
5.75	-0.24554094	5.80118
5.919	1.573287	2.73801
2.304	1.3248794	-5.05889
1.954	1.13223428	-5.05889
5.994	-0.24554094	5.78917
5.48	1.28237424	7.75735
5.037	-0.24554094	2.73801
2.52	-0.0533418	-5.05889
4.902	-0.24554094	3.08096
3.406	1.03886419	-5.05889
3.224	2.20545178	2.66106
4.927	0.55359787	-0.06789
5.142	0.73001076	6.05659
4.226	0.97283193	4.05854
2.49	0.95865671	-5.05889
5.745	-0.24554094	6.16507
5.486	0.5235002	3.05112
4.694	-0.24554094	3.48234
4.006	1.79483565	2.81106
5.494	-0.24554094	5.04719
4.739	5.07030343	1.26173
2.122	0.1819402	-5.05889
5.859	0.2074062	2.52292
5.126	-0.24554094	2.98951
6.238	-0.24554094	3.65102
4.013	0.49999276	2.53735
5.695	0.59663604	3.88331
5.984	-0.23521213	5.30917
5.077	-0.24554094	5.36886
5.261	0.43572509	3.95489
5.818	0.14683175	5.73389
5.901	-0.24554094	3.61066
5.208	0.8721341	4.58479
5.384	-0.24554094	0.71989
5.668	0.78770615	3.75341
5.91	2.01848444	7.30362
4.802	-0.24554094	-0.719
4.406	4.00009913	-5.05889
2.399	0.68267708	-2.78087
6.032	0.52552716	2.37014
4.89	1.12423513	0.4418
4.958	1.31202003	-5.05889
5.765	-0.24554094	5.02434
3.729	3.69145594	1.29606
3.947	3.98453462	-5.05889
5.32	0.52957057	3.92778
3.5	2.98334014	-0.719
3.216	-0.24554094	3.86055
4.32	-0.24554094	2.32097
5.564	0.66715955	6.71138
3.256	0.65240156	3.59696
3.022	1.63088977	0.31358
3.86	4.27933753	-5.05889
2.124	1.23114941	-5.05889
5.107	1.91717564	1.39443
4.118	0.84155813	3.65763
5.082	0.26068145	3.4292
5.313	1.30613941	5.42035
4.851	-0.24554094	0.66839
4.213	-0.11197936	5.53979
5.184	0.67356951	5.51449
4.859	0.27279417	3.87197
5.173	-0.24554094	3.80797
5.183	-0.21985629	2.52292
5.324	1.70114068	-3.51042
5.089	-0.24554094	1.60079
2.409	0.95865671	-5.05889
5.431	0.31088622	7.68672
2.207	-0.24554094	2.97898
5.036	0.02751852	7.56176
4.675	-0.24554094	0.86418
5.296	-0.24554094	2.00536
4.779	0.52957057	7.85415
5.619	0.09865194	6.7201
4.804	-0.24554094	4.50264
6.085	0.02322194	3.72219
1.954	-0.24554094	-5.05889
5.979	0.33187884	7.31517
2.167	-0.24554094	-5.05889
3.435	0.52957057	-0.719
5.42	0.58793664	5.23589
5.94	0.2137037	2.25268
5.91	0.77072374	5.76792
5.374	0.308535	3.61066
6.441	0.19854377	4.08332
5.156	0.61197257	2.49363
4.444	0.46241095	4.55319
5.936	0.61483087	5.21136
1.971	1.66621097	-5.05889
4.477	1.47448768	1.65472
5.216	-0.24381434	-0.58798
6.044	1.30023472	3.48234
3.877	-0.12622339	4.05353
4.681	1.21993329	1.03655
4.129	4.19361402	1.39443
5.612	-0.24554094	2.18099
4.679	0.74051527	1.07661
4.775	0.53057965	0.61499
4.965	-0.24554094	4.87049
3.991	-0.05940253	5.27084
5.699	-0.24554094	6.61182
3.955	4.60372719	-5.05889
2.611	1.06068346	-1.93783
2.243	0.03180093	-5.05889
2.163	0.95490312	-1.02322
2.195	-0.24554094	-5.05889
4.766	1.22555225	0.55954
6.113	0.07394423	3.3497
5.721	0.42816326	6.43245
5.967	0.96985922	6.59296
5.028	-0.24554094	2.50835
4.471	1.53205731	-1.64946
2.398	-0.24554094	-1.93783
1.954	-0.24554094	-5.05889
4.071	-0.23692847	-0.58798
5.296	0.78686185	5.17723
2.715	1.13489741	-1.64946
5.654	0.52957057	6.19608
5.152	0.59277559	4.93183
6.262	0.52957057	5.04719
2.602	0.1883496	-5.05889
5.181	-0.24554094	3.63098
5.718	0.86174616	4.1876
5.016	-0.24554094	6.63128
4.267	1.88833976	1.57306
5.477	0.45072981	7.6407
4.705	0.31791698	2.49363
4.748	0.77498854	2.43321
5.319	0.52957057	6.22422
5.589	0.70698442	6.85506
5.42	0.03180093	6.59296
5.341	0.51638683	5.79519
3.566	-0.24554094	2.59364
5.086	-0.24554094	-1.93783
5.502	-0.24554094	5.96619
5.946	0.28480603	3.71586
4.6	-0.24554094	0.61499
4.175	0.93141035	3.86627
6.074	-0.24554094	2.40202
5.269	0.52957057	1.07661
4.588	-0.24554094	3.49718
5.546	0.87452037	2.14377
3.428	-0.24554094	5.29013
5.604	-0.24554094	1.29606
2.865	0.33071954	-1.20336
2.888	1.62475573	1.68094
3.854	-0.24554094	1.70669
4.974	-0.24554094	-2.29863
5.116	0.95865671	6.52673
4.69	0.92528508	4.6191
2.162	0.04880598	-2.78087
2.219	1.17610537	1.15353
5.84	0.52957057	6.84059
5.547	0.49276122	-5.05889
5.36	1.50817988	1.19051
6.347	0.52957057	6.85072
4.882	0.98466187	-5.05889
5.751	0.10679381	6.05909
4.587	1.74744732	3.75341
2.627	1.94090322	-1.93783
3.901	1.60045506	1.87514
1.954	-0.24554094	-5.05889
3.241	2.44319539	-5.05889
2.508	0.71410874	-5.05889
4.672	1.35652104	1.62801
1.954	-0.10412637	-5.05889
1.954	1.00296131	-5.05889
6.104	0.95940626	4.41552
4.421	-0.24554094	2.37014
5.898	0.35028503	3.97623
4.981	0.17808161	5.51449
3.243	1.35822715	-5.05889
2.36	0.1742114	-5.05889
4.376	4.20393716	2.46374
1.954	1.09860784	-5.05889
3.107	1.67216709	0.0169
3.783	-0.09320349	-0.719
5.356	3.22816752	-0.58798
1.954	-0.24554094	-5.05889
4.806	0.81115078	4.51726
4.746	0.85773141	2.55163
3.649	-0.24554094	5.45686
2.17	1.66253341	-5.05889
2.217	0.25336543	-5.05889
4.914	0.50616264	3.77791
6.17	0.19345569	2.78712
5.268	0.89973207	6.25072
1.954	1.01093696	-5.05889
5.581	0.19981424	2.00536
5.97	-0.24554094	2.84624
5.163	0.95715645	4.53534
4.771	0.75180943	5.67639
4.017	2.55280481	-0.46788
4.041	4.94064598	-5.05889
6.203	-0.24554094	4.56732
5.53	-0.24554094	2.73801
4.816	0.39197274	6.72641
5.265	-0.24554094	0.50187
4.378	-0.24554094	4.27196
5.338	-0.24554094	0.99535
6.078	-0.24554094	4.39191
4.893	2.20007097	-1.93783
3.71	-0.24554094	4.73938
5.381	0.52957057	2.63447
4.214	5.63080149	-5.05889
5.74	0.73264385	3.30824
5.596	0.39308277	-5.05889
1.954	1.04311311	-5.05889
3.803	1.75178053	8.11799
4.811	0.83094767	3.38203
1.954	0.86974309	-5.05889
4.748	-0.21477378	3.4292
3.857	0.95865671	1.62801
4.911	-0.24554094	4.58131
6.173	0.34226056	5.37088
2.025	0.26675112	-5.05889
5.226	1.35196153	2.40202
5.241	0.52957057	1.07661
2.184	0.52957057	1.19051
6.279	-0.24554094	5.40863
5.685	-0.24554094	1.70669
4.427	-0.24208979	5.77859
5.478	-0.23692847	3.77183
5.418	0.69982474	5.40471
6.049	0.57234009	4.68859
2.031	0.87372538	-5.05889
5.772	1.15335752	4.84172
2.069	1.08836515	-5.05889
2.615	0.71144069	0.24494
2.771	4.5855154	-0.06789
2.12	4.41640737	-3.51042
3.9	-0.24554094	-0.719
5.448	1.192137	4.96422
5.846	0.10001212	9.20844
4.566	-0.24554094	3.06114
5.084	1.09247096	0.17286
5.843	-0.24554094	6.03896
5.968	-0.09631588	5.86117
1.954	-0.24554094	-5.05889
5.943	-0.24554094	-5.05889
5.642	1.46396215	-5.05889
5.746	0.69623198	1.62801
5.808	0.23118964	7.08478
3.341	0.92835096	0.81767
4.525	0.94509785	3.41365
4.965	2.48127297	3.76572
2.005	0.77583982	-5.05889
5.232	-0.24554094	4.9959
2.122	0.65054627	-5.05889
3.738	0.93522548	-5.05889
4.592	0.29671871	1.29606
4.646	1.75394226	-0.25407
5.562	0.53360268	5.51995
1.954	2.72733007	-5.05889
2.342	1.57719893	-1.40923
2.056	0.54962133	-5.05889
2.312	-0.24554094	-5.05889
3.792	1.00876615	-5.05889
5.232	-0.24554094	8.22462
5.077	-0.24554094	2.86923
5.695	0.19981424	3.741
4.702	0.33534772	-2.29863
1.954	-0.24554094	-5.05889
4.43	-0.24554094	-1.40923
5.649	-0.24554094	5.7448
4.885	0.95865671	6.67353
5.824	0.52957057	5.86975
4.662	2.21112731	-1.64946
4.211	3.51810698	1.54478
2.222	0.37746303	-5.05889
5.598	0.40633798	2.64783
4.421	0.52957057	1.51594
5.66	0.84885863	-3.51042
2.403	2.30847722	0.37911
5.927	0.57429963	8.2731
2.261	0.42165092	-2.78087
5.295	0.86415045	3.45981
2.093	1.38804593	-5.05889
6.034	-0.24554094	3.87197
2.05	0.52653908	-5.05889
4.77	0.5184228	4.28056
1.954	2.2320619	-5.05889
4.624	0.16254194	8.03497
3.346	0.95865671	5.97284
5.115	1.39027117	4.06851
5.559	0.52957057	-5.05889
4.113	-0.24554094	1.73199
1.985	1.39360261	-5.05889
5.319	-0.24554094	2.84624
5.627	-0.16818101	5.67802
6.004	0.60432516	1.36238
4.585	1.08836515	0.50187
3.185	0.62809182	1.26173
5.334	-0.24554094	5.83368
5.321	-0.24554094	3.42144
6.28	0.62052867	-1.20336
3.904	3.10722578	-5.05889
3.799	-0.22836714	6.68895
5.877	-0.21308358	6.97051
2.303	0.83993095	-5.05889
1.954	0.58890573	-5.05889
3.126	2.63110881	-5.05889
6.159	-0.24554094	5.76945
5.013	0.844807	3.36596
5.762	0.74573855	2.93607
5.676	0.95865671	4.71421
5.715	1.04028189	5.66495
5.296	0.52957057	3.56915
5.401	0.24969346	5.0943
5.375	0.16254194	4.57083
2.144	0.52957057	-1.40923
4.255	2.09790384	-2.29863
6.202	1.8906994	-5.05889
5.223	0.63655313	6.51675
5.036	0.21746831	4.16455
5.243	-0.24554094	2.47876
3.933	0.30381986	-2.29863
3.665	0.52957057	1.19051
5.322	0.39197274	3.07108
3.927	0.65610501	-1.20336
2.785	2.33875227	-0.719
3.381	1.81940638	-1.40923
4.727	-0.23864687	8.20837
4.87	0.97431599	1.75686
6.277	-0.24554094	4.49156
6.04	0.54663172	5.22702
2.716	0.55061649	-0.719
3.086	-0.24554094	3.5408
3.468	0.52957057	-2.78087
4.368	4.16985282	0.50187
6.017	-0.24554094	5.64843
5.702	0.02322194	3.63098
6.093	0.52957057	7.23171
3.993	1.74440632	1.80534
5.698	-0.24554094	7.4618
5.37	0.2237209	2.88059
4.517	0.83503755	3.95489
5.006	-0.24554094	3.01034
4.985	-0.24554094	5.20911
1.954	-0.24554094	-5.05889
2.177	3.59815072	0.17286
5.393	-0.24554094	6.23642
2.379	1.6957531	-5.05889
2.116	-0.24554094	-5.05889
4.545	1.28357185	-1.40923
4.978	0.85853525	6.17433
5.721	-0.1422168	6.37538
2.236	3.89597141	-5.05889
1.954	-0.24554094	-5.05889
4.966	1.82805043	-2.78087
5.191	-0.24554094	5.36684
4.95	0.77243084	5.58215
6.109	-0.24554094	4.53534
6.032	-0.24554094	5.80267
4.847	-0.24554094	2.23509
2.575	-0.24554094	-5.05889
2.129	-0.24554094	-5.05889
3.217	-0.24554094	7.43701
3.051	2.25177649	-5.05889
3.256	1.11551903	1.32961
4.619	0.8342205	-0.06789
4.251	0.46346914	3.23933
6.336	1.00368819	8.78736
5.325	-0.06549035	5.56641
6.134	0.51128329	10.44339
5.318	0.67082626	1.54478
5.345	1.14085682	6.95313
2.419	0.87769593	-5.05889
4.529	0.52957057	2.1625
5.846	0.52957057	4.8359
2.279	0.81281073	-5.05889
4.242	4.23165508	-5.05889
4.104	-0.24554094	4.1876
2.729	-0.22155445	-5.05889
4.341	1.78218185	4.3598
5.103	1.41397824	6.77592
5.835	-0.24554094	8.33349
5.629	0.47084759	2.3042
4.157	0.52957057	0.17286
2.639	-0.24554094	-0.06789
6.205	-0.24554094	7.82579
2.102	1.62664447	3.61746
6.227	0.59952391	6.9605
4.694	0.14683175	2.76277
2.102	0.93979035	-5.05889
6.398	-0.24554094	4.73
2.532	0.10137101	-5.05889
5.079	0.71765731	4.9722
6.018	-0.05788496	2.78712
4.819	2.96198987	2.06631
5.073	0.95715645	3.51915
1.954	0.95865671	2.25268
2.057	-0.24554094	-5.05889
2.271	-0.24554094	-5.05889
5.35	-0.21816013	4.09312
2.324	0.86174616	-5.05889
2.162	-0.19628962	-5.05889
5.089	1.50971584	0.37911
6.029	0.44110147	5.16567
3.494	2.20197237	-0.06789
2.962	3.10604163	-1.40923
5.017	-0.08082094	2.66106
4.643	3.9266731	-5.05889
5.171	0.09865194	-0.06789
5.653	0.41947251	8.64913
5.919	0.19854377	4.20125
4.589	1.58305181	2.55163
4.53	-0.24554094	4.90427
5.287	-0.24554094	3.63098
3.174	0.52957057	2.97898
1.954	-0.24554094	-5.05889
3.12	1.12957282	-1.93783
5.841	-0.24554094	-0.719
5.081	0.95189321	-0.86311
2.826	0.95865671	-1.93783
4.537	3.13469565	-5.05889
3.096	0.44431877	3.01034
5.333	-0.24554094	5.76026
2.286	-0.24554094	-5.05889
6.401	0.38640866	7.00529
2.538	2.56566284	0.24494
1.954	0.52957057	-5.05889
4.024	0.73176669	6.65131
5.465	0.03180093	3.16697
5.416	-0.24554094	-2.29863
5.912	1.01958768	0.86418
5.516	-0.24554094	2.19925
3.335	-0.15514042	4.45024
1.954	0.48757429	-5.05889
2.111	0.52957057	-5.05889
2.432	1.12957282	-2.29863
1.954	0.96985922	-5.05889
3.715	4.90051421	-5.05889
2.823	3.14329863	-3.51042
5.128	-0.24554094	3.33325
2.643	-0.04730642	-5.05889
2.016	1.40079446	-5.05889
2.041	0.8721341	-2.29863
4.538	-0.24554094	2.12479
6.084	-0.24554094	3.03087
6.023	-0.24554094	7.38413
6.255	-0.24554094	5.91602
4.707	5.0047755	-5.05889
4.321	3.2130034	4.33937
5.442	0.62526063	-0.15798
3.672	-0.24554094	5.43005
4.106	4.83483252	-2.78087
4.468	2.58837511	-1.93783
5.845	0.52957057	5.12566
4.633	1.66804624	-1.64946
5.4	0.69982474	4.00765
4.595	0.80031346	3.43691
4.967	-0.24554094	-2.78087
5.077	0.56349249	0.50187
5.088	0.46241095	9.72665
5.466	1.30319009	0.31358
5.089	1.19532206	1.54478
2.541	0.44217541	2.94692
6.486	-0.24554094	3.92229
5.675	0.61768258	6.04022
3.618	0.52957057	4.71739
4.95	0.6384265	7.71951
5.843	0.52957057	2.02596
2.898	-0.24554094	7.1055
4.573	-0.24554094	2.04628
6.295	1.24965132	5.58215
6.465	0.44110147	6.97581
5.771	-0.24554094	2.88059
6.049	0.86334973	7.53055
3.942	-0.24554094	0.90924
4.189	-0.24554094	2.06631
5.383	1.738305	5.76486
6.197	0.41401477	6.35211
5.479	0.58987417	-2.78087
3.335	1.2361065	-1.93783
5.27	0.12828609	3.94411
4.397	2.3190281	-1.20336
5.94	0.26796176	4.6393
5.209	0.51434799	1.39443
